asset,start,end,rows,missing_pct
X:BTCUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,280785,0.0
X:ETHUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,280769,0.0
X:SOLUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,280378,0.0
X:BNBUSD,,,0,100.0
X:XRPUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,280294,0.0
X:ADAUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,280176,0.0
X:DOGEUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,280570,0.0
X:AVAXUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,280659,0.0
X:DOTUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,280360,0.0
X:MATICUSD,2023-01-01 00:00:00+00:00,2025-09-01 23:55:00+00:00,279482,0.0
