asset,regime,p
X:BTCUSD,NOISY,72.42
X:BTCUSD,TREND,23.91
X:BTCUSD,MR,3.67
X:ETHUSD,NOISY,70.65
X:ETHUSD,TREND,27.15
X:ETHUSD,MR,2.2
X:SOLUSD,NOISY,77.53
X:SOLUSD,TREND,20.87
X:SOLUSD,MR,1.6
X:XRPUSD,NOISY,76.7
X:XRPUSD,TREND,20.47
X:XRPUSD,MR,2.83
X:ADAUSD,NOISY,75.61
X:ADAUSD,TREND,22.28
X:ADAUSD,MR,2.11
X:DOGEUSD,NOISY,75.26
X:DOGEUSD,TREND,21.78
X:DOGEUSD,MR,2.97
X:AVAXUSD,NOISY,68.27
X:AVAXUSD,TREND,29.21
X:AVAXUSD,MR,2.52
X:DOTUSD,NOISY,71.39
X:DOTUSD,TREND,25.23
X:DOTUSD,MR,3.38
X:MATICUSD,NOISY,75.46
X:MATICUSD,TREND,22.05
X:MATICUSD,MR,2.49
